iter	Passed	Remaining
174	3765	17750
175	3786	17728
176	3806	17698
177	3826	17672
178	3844	17635
179	3866	17614
180	3888	17596
181	3911	17579
182	3933	17560
183	3953	17532
184	3973	17507
185	3995	17486
186	4017	17465
187	4038	17441
188	4056	17407
189	4076	17377
190	4095	17346
191	4115	17317
192	4136	17295
193	4156	17266
194	4176	17241
195	4200	17230
196	4223	17213
197	4244	17191
198	4266	17173
199	4287	17151
200	4312	17141
201	4334	17123
202	4357	17108
203	4381	17095
204	4402	17071
205	4423	17049
206	4446	17035
207	4470	17020
208	4495	17012
209	4514	16984
210	4535	16961
211	4555	16934
212	4577	16913
213	4600	16895
214	4620	16871
215	4642	16852
216	4663	16828
217	4685	16807
218	4708	16790
219	4729	16769
220	4752	16753
221	4779	16748
222	4801	16730
223	4829	16729
224	4853	16715
225	4880	16713
226	4907	16713
227	4933	16703
228	4959	16696
229	4980	16674
230	5002	16654
231	5023	16630
232	5044	16605
233	5063	16576
234	5084	16551
235	5105	16529
236	5126	16503
237	5145	16474
238	5165	16447
239	5187	16426
240	5207	16401
241	5227	16374
242	5246	16344
243	5266	16317
244	5286	16289
245	5304	16258
246	5322	16227
247	5342	16200
248	5361	16170
249	5379	16139
250	5400	16116
251	5419	16085
252	5439	16061
253	5458	16031
254	5476	15999
255	5494	15967
256	5512	15937
257	5529	15901
258	5549	15876
259	5568	15848
260	5586	15817
261	5604	15787
262	5623	15758
263	5641	15726
264	5658	15695
265	5676	15663
266	5693	15630
267	5711	15599
268	5730	15572
269	5750	15547
270	5769	15519
271	5789	15494
272	5806	15463
273	5825	15434
274	5843	15406
275	5866	15389
276	5887	15366
277	5906	15339
278	5925	15312
279	5943	15283
280	5963	15258
281	5982	15233
282	6001	15205
283	6020	15179
284	6038	15149
285	6058	15124
286	6076	15096
287	6093	15065
288	6112	15038
289	6128	15003
290	6146	14976
291	6166	14951
292	6184	14923
293	6202	14893
294	6216	14857
295	6236	14831
296	6254	14804
297	6272	14776
298	6290	14746
299	6308	14719
300	6328	14695
301	6344	14663
302	6362	14635
303	6381	14609
304	6398	14579
305	6416	14551
306	6432	14521
307	6451	14493
308	6468	14465
309	6485	14435
310	6504	14409
311	6521	14380
312	6539	14353
313	6557	14325
314	6575	14299
315	6594	14274
316	6612	14246
317	6629	14218
318	6647	14190
319	6666	14167
320	6683	14138
321	6705	14119
322	6723	14093
323	6742	14067
324	6760	14041
325	6779	14017
326	6797	13990
327	6815	13963
328	6831	13933
329	6850	13908
330	6869	13883
331	6889	13862
332	6908	13838
333	6926	13812
334	6944	13784
335	6962	13759
336	6981	13735
337	7000	13711
338	7017	13683
339	7036	13659
340	7054	13632
341	7073	13609
342	7091	13583
343	7108	13555
344	7125	13528
345	7143	13501
346	7160	13475
347	7179	13451
348	7196	13423
349	7212	13395
350	7230	13368
351	7247	13342
352	7263	13312
353	7280	13285
354	7298	13260
355	7314	13232
356	7335	13211
357	7352	13184
358	7369	13157
359	7386	13131
360	7403	13105
361	7421	13079
362	7436	13050
363	7455	13026
364	7474	13003
365	7492	12978
366	7512	12956
367	7530	12932
368	7550	12911
369	7571	12892
370	7588	12866
371	7606	12841
372	7625	12818
373	7644	12795
374	7663	12772
375	7682	12749
376	7698	12722
377	7718	12700
378	7736	12676
379	7753	12649
380	7770	12624
381	7788	12599
382	7807	12576
383	7826	12555
384	7846	12534
385	7864	12510
386	7885	12489
387	7903	12465
388	7920	12441
389	7939	12417
390	7958	12395
391	7980	12378
392	7999	12355
393	8017	12331
394	8042	12317
395	8063	12298
396	8082	12276
397	8101	12253
398	8121	12232
399	8139	12209
400	8158	12187
401	8179	12166
402	8197	12144
403	8215	12120
404	8233	12096
405	8254	12076
406	8273	12054
407	8294	12035
408	8313	12012
409	8331	11988
410	8349	11965
411	8376	11954
412	8397	11935
413	8418	11915
414	8439	11897
415	8459	11875
416	8486	11865
417	8511	11851
418	8537	11838
419	8565	11828
420	8593	11818
421	8615	11799
422	8639	11784
423	8660	11765
424	8680	11744
425	8704	11728
426	8725	11709
427	8747	11690
428	8770	11672
429	8792	11655
430	8812	11633
431	8835	11617
432	8859	11601
433	8882	11584
434	8905	11567
435	8926	11547
436	8953	11535
437	8987	11531
438	9009	11512
439	9031	11494
440	9053	11475
441	9081	11465
442	9108	11451
443	9141	11447
444	9170	11437
445	9198	11425
446	9224	11412
447	9251	11399
448	9274	11381
449	9301	11368
450	9324	11350
451	9352	11339
452	9374	11319
453	9399	11304
454	9422	11286
455	9447	11270
456	9470	11253
457	9497	11239
458	9526	11228
459	9559	11221
460	9589	11211
461	9618	11201
462	9652	11195
463	9682	11185
464	9716	11178
465	9750	11172
466	9785	11168
467	9821	11164
468	9864	11168
469	9920	11187
470	9986	11216
471	10056	11249
472	10112	11266
473	10149	11263
474	10187	11260
475	10229	11261
476	10271	11261
477	10310	11259
478	10351	11259
479	10401	11268
480	10439	11264
481	10483	11266
482	10529	11270
483	10565	11264
484	10606	11262
485	10644	11257
486	10687	11258
487	10726	11253
488	10759	11243
489	10792	11232
490	10825	11222
491	10859	11212
492	10894	11204
493	10929	11195
494	10957	11178
495	10983	11160
496	11007	11140
497	11034	11123
498	11061	11105
499	11089	11089
500	11118	11073
501	11147	11058
502	11176	11043
503	11208	11030
504	11243	11020
505	11282	11014
506	11321	11009
507	11358	11000
508	11392	10990
509	11425	10977
510	11458	10964
511	11484	10946
512	11508	10925
513	11538	10909
514	11563	10889
515	11589	10871
516	11615	10851
517	11641	10832
518	11663	10809
519	11690	10790
520	11714	10769
521	11740	10750
522	11769	10734
523	11796	10716
524	11823	10697
525	11852	10680
526	11880	10663
527	11902	10640
528	11921	10614
529	11946	10593
530	11972	10574
531	12002	10558
532	12032	10542
533	12060	10524
534	12087	10505
535	12113	10486
536	12138	10465
537	12165	10447
538	12192	10427
539	12214	10405
540	12242	10387
541	12267	10365
542	12293	10346
543	12319	10327
544	12336	10299
545	12361	10278
546	12384	10256
547	12410	10236
548	12438	10217
549	12460	10195
550	12486	10175
551	12502	10147
552	12529	10127
553	12554	10107
554	12579	10085
555	12606	10066
556	12631	10046
557	12653	10023
558	12672	9997
559	12696	9975
560	12723	9956
561	12747	9935
562	12773	9915
563	12800	9895
564	12828	9876
565	12857	9858
566	12885	9839
567	12911	9820
568	12934	9797
569	12958	9775
570	12981	9752
571	13007	9733
572	13032	9712
573	13054	9688
574	13076	9664
575	13102	9645
576	13123	9621
577	13147	9598
578	13170	9576
579	13196	9556
580	13221	9534
581	13243	9511
582	13268	9490
583	13290	9466
584	13318	9448
585	13342	9426
586	13370	9406
587	13396	9386
588	13421	9365
589	13444	9342
590	13467	9320
591	13495	9301
592	13523	9281
593	13548	9260
594	13573	9239
595	13604	9221
596	13635	9204
597	13663	9185
598	13690	9165
599	13717	9145
600	13745	9125
601	13771	9105
602	13803	9087
603	13835	9070
604	13861	9050
605	13887	9028
606	13915	9009
607	13940	8988
608	13967	8967
609	13992	8945
610	14019	8925
611	14047	8905
612	14074	8885
613	14102	8865
614	14134	8848
615	14165	8830
616	14196	8812
617	14229	8795
618	14257	8775
619	14284	8755
620	14316	8737
621	14350	8720
622	14381	8702
623	14412	8684
624	14444	8666
625	14473	8647
626	14504	8628
627	14534	8609
628	14564	8590
629	14593	8570
630	14623	8551
631	14648	8529
632	14674	8508
633	14702	8487
634	14726	8464
635	14753	8444
636	14782	8423
637	14813	8404
638	14844	8386
639	14872	8365
640	14903	8346
641	14926	8323
642	14957	8304
643	14989	8286
644	15020	8267
645	15053	8248
646	15084	8230
647	15123	8215
648	15157	8197
649	15190	8179
650	15224	8161
651	15258	8143
652	15292	8126
653	15320	8105
654	15352	8086
655	15383	8067
656	15411	8045
657	15441	8026
658	15470	8005
659	15502	7986
660	15539	7969
661	15566	7948
662	15591	7924
663	15619	7903
664	15641	7879
665	15666	7856
666	15693	7835
667	15714	7810
668	15739	7787
669	15762	7763
670	15788	7741
671	15816	7719
672	15835	7694
673	15860	7671
674	15886	7649
675	15909	7625
676	15934	7602
677	15958	7579
678	15980	7554
679	16007	7532
680	16029	7508
681	16055	7486
682	16080	7463
683	16103	7439
684	16129	7417
685	16151	7392
686	16177	7370
687	16202	7347
688	16229	7325
689	16257	7304
690	16283	7281
691	16309	7258
692	16335	7236
693	16361	7214
694	16383	7190
695	16410	7167
696	16431	7143
697	16457	7120
698	16482	7097
699	16511	7076
700	16535	7052
701	16560	7029
702	16582	7005
703	16612	6984
704	16640	6962
705	16663	6939
706	16690	6917
707	16714	6893
708	16739	6870
709	16767	6848
710	16795	6826
711	16821	6804
712	16846	6780
713	16871	6757
714	16893	6733
715	16920	6711
716	16943	6687
717	16969	6665
718	16995	6642
719	17022	6619
720	17050	6597
721	17079	6576
722	17102	6552
723	17127	6529
724	17153	6506
725	17176	6482
726	17201	6459
727	17221	6434
728	17248	6411
729	17274	6389
730	17296	6364
731	17321	6341
732	17344	6317
733	17366	6293
734	17390	6270
735	17413	6246
736	17438	6222
737	17466	6200
738	17496	6179
739	17526	6157
740	17552	6135
741	17576	6111
742	17601	6088
743	17626	6065
744	17650	6041
745	17677	6018
746	17700	5994
747	17724	5971
748	17750	5948
749	17783	5927
750	17808	5904
751	17835	5882
752	17860	5858
753	17883	5834
754	17911	5812
755	17932	5787
756	17960	5765
757	17984	5741
758	18008	5718
759	18033	5694
760	18057	5671
761	18078	5646
762	18106	5624
763	18130	5600
764	18155	5577
765	18180	5553
766	18202	5529
767	18227	5506
768	18250	5482
769	18274	5458
770	18302	5436
771	18325	5412
772	18354	5389
773	18380	5366
774	18404	5343
775	18429	5319
776	18454	5296
777	18476	5272
778	18504	5249
779	18525	5225
780	18552	5202
781	18576	5178
782	18596	5153
783	18622	5130
784	18644	5106
785	18672	5083
786	18696	5060
787	18720	5036
788	18745	5013
789	18773	4990
790	18796	4966
791	18822	4943
792	18846	4919
793	18872	4896
794	18900	4873
795	18922	4849
796	18949	4826
797	18974	4803
798	19000	4779
799	19026	4756
800	19051	4733
801	19074	4709
802	19100	4685
803	19121	4661
804	19148	4638
805	19173	4615
806	19198	4591
807	19225	4568
808	19249	4544
809	19271	4520
810	19297	4497
811	19321	4473
812	19345	4449
813	19370	4426
814	19394	4402
815	19418	4378
816	19442	4355
817	19465	4330
818	19493	4308
819	19516	4284
820	19542	4260
821	19567	4237
822	19591	4213
823	19614	4189
824	19636	4165
825	19661	4141
826	19687	4118
827	19709	4094
828	19737	4071
829	19761	4047
830	19783	4023
831	19807	3999
832	19830	3975
833	19856	3952
834	19881	3928
835	19905	3904
836	19930	3881
837	19954	3857
838	19978	3833
839	20001	3809
840	20025	3786
841	20049	3762
842	20080	3739
843	20108	3716
844	20135	3693
845	20161	3669
846	20187	3646
847	20217	3623
848	20242	3600
849	20274	3577
850	20303	3554
851	20333	3532
852	20364	3509
853	20395	3486
854	20422	3463
855	20453	3440
856	20486	3418
857	20513	3395
858	20540	3371
859	20570	3348
860	20603	3326
861	20627	3302
862	20659	3279
863	20694	3257
864	20721	3234
865	20753	3211
866	20780	3187
867	20812	3165
868	20840	3141
869	20867	3118
870	20897	3095
871	20925	3071
872	20953	3048
873	20984	3025
874	21011	3001
875	21038	2978
876	21067	2954
877	21091	2930
878	21120	2907
879	21148	2883
880	21180	2860
881	21215	2838
882	21244	2814
883	21269	2791
884	21298	2767
885	21329	2744
886	21357	2720
887	21389	2697
888	21420	2674
889	21450	2651
890	21491	2629
891	21522	2605
892	21550	2582
893	21578	2558
894	21607	2534
895	21635	2511
896	21662	2487
897	21684	2463
898	21714	2439
899	21745	2416
900	21777	2392
901	21808	2369
902	21836	2345
903	21860	2321
904	21884	2297
905	21915	2273
906	21946	2250
907	21966	2225
908	21995	2201
909	22019	2177
910	22042	2153
911	22070	2129
912	22092	2105
913	22118	2081
914	22143	2057
915	22165	2032
916	22190	2008
917	22211	1984
918	22237	1960
919	22261	1935
920	22284	1911
921	22310	1887
922	22332	1863
923	22358	1838
924	22379	1814
925	22405	1790
926	22430	1766
927	22456	1742
928	22484	1718
929	22509	1694
930	22534	1670
931	22557	1645
932	22581	1621
933	22605	1597
934	22633	1573
935	22656	1549
936	22682	1525
937	22707	1500
938	22735	1476
939	22758	1452
940	22782	1428
941	22805	1404
942	22832	1380
943	22857	1355
944	22882	1331
945	22907	1307
946	22933	1283
947	22960	1259
948	22988	1235
949	23016	1211
950	23039	1187
951	23066	1163
952	23086	1138
953	23114	1114
954	23139	1090
955	23164	1066
956	23192	1042
957	23222	1018
958	23248	993
959	23272	969
960	23299	945
961	23325	921
962	23350	897
963	23378	873
964	23400	848
965	23429	824
966	23458	800
967	23477	776
968	23502	751
969	23520	727
970	23545	703
971	23571	679
972	23595	654
973	23622	630
974	23647	606
975	23671	582
976	23696	557
977	23724	533
978	23748	509
979	23776	485
980	23801	460
981	23826	436
982	23853	412
983	23878	388
984	23904	364
985	23930	339
986	23956	315
987	23981	291
988	24007	267
989	24031	242
990	24054	218
991	24078	194
992	24104	169
993	24130	145
994	24156	121
995	24182	97
996	24209	72
997	24234	48
998	24257	24
999	24280	0
