iter	Logloss
0	0.5457205179
1	0.4629817285
2	0.3925339932
3	0.3138588875
4	0.2666081176
5	0.2277028981
6	0.2037887832
7	0.1840474933
8	0.1693744152
9	0.1493325661
10	0.1395483938
11	0.1295267359
12	0.1246133542
13	0.1175179946
14	0.1128875907
15	0.1093274169
16	0.1060041398
17	0.1039092962
18	0.1008088604
19	0.09895768266
20	0.09727072484
21	0.09602874873
22	0.09537257435
23	0.09462678841
24	0.0940337821
25	0.09277539917
26	0.09232504517
27	0.09161559886
28	0.09071642649
29	0.08966151633
30	0.08937186089
31	0.0885365576
32	0.08814260787
33	0.08780251063
34	0.08757468586
35	0.0871635925
36	0.08682343052
37	0.08660533446
38	0.08641610571
39	0.08630573113
40	0.08615333418
41	0.0858858936
42	0.08571545342
43	0.08553835026
44	0.08545403075
45	0.0852919977
46	0.08519696537
47	0.08506942967
48	0.08476810299
49	0.08467693399
50	0.08455035398
51	0.08447918168
52	0.08437260788
53	0.08431393374
54	0.0842065181
55	0.08415188006
56	0.08406538263
57	0.08374157556
58	0.08367607787
59	0.08351692518
60	0.0834634391
61	0.08339539353
62	0.0833379377
63	0.08331056181
64	0.08314784175
65	0.08308496593
66	0.08305297204
67	0.08300809068
68	0.08295796996
69	0.08292198984
70	0.08287659769
71	0.08283591006
72	0.08278787693
73	0.08273007951
74	0.08268816194
75	0.08266655731
76	0.08264504132
77	0.08259935552
78	0.08256801735
79	0.08255106014
80	0.08251958327
81	0.08249294519
82	0.0824904301
83	0.08247604935
84	0.08245880295
85	0.08243285842
86	0.08240334813
87	0.0823682824
88	0.08233023843
89	0.08231608372
90	0.08229076036
91	0.08217434595
92	0.08217371369
93	0.08214836583
94	0.08212696214
95	0.08210566328
96	0.08206637778
97	0.08203419877
98	0.08200619552
99	0.08198752702
100	0.08196898657
101	0.0819589325
102	0.08195786187
103	0.08193947667
104	0.08192189602
105	0.08189962596
106	0.08188436034
107	0.081859366
108	0.08183777323
109	0.08181251792
110	0.08179203089
111	0.08178065331
112	0.08175635791
113	0.08173797392
114	0.0817208884
115	0.08170129599
116	0.08169155619
117	0.0816721922
118	0.08163021291
119	0.08162119793
120	0.08161888807
121	0.08158913735
122	0.08157373166
123	0.08155919658
124	0.08146974565
125	0.08145592563
126	0.0814188644
127	0.08139105338
128	0.08137626837
129	0.08135051296
130	0.08132359607
131	0.08129933362
132	0.08127464349
133	0.08127323784
134	0.08126367238
135	0.08124416578
136	0.08122706787
137	0.081202545
138	0.08113469484
139	0.08110374985
140	0.08108283271
141	0.08108108171
142	0.08107912335
143	0.08106598066
144	0.08102924727
145	0.08100038104
146	0.08098903171
147	0.08098900217
148	0.08097292722
149	0.08096426071
150	0.08095682326
151	0.08093091631
152	0.08090382741
153	0.08088967068
154	0.08086999562
155	0.08085869746
156	0.08084316934
157	0.08083236148
158	0.08079567086
159	0.0807699836
160	0.08074268644
161	0.08072837798
162	0.08071696301
163	0.08069412096
164	0.08067856524
165	0.08065302951
